time	V(n004)
4.969552232110584e-002	-2.023965e+000
4.983503124967727e-002	-1.095416e+000
4.990478571396299e-002	-6.318692e-001
4.997454017824871e-002	-1.685748e-001
5.004429464253442e-002	2.944673e-001
5.011404910682014e-002	7.572569e-001
5.018380357110585e-002	1.219794e+000
5.025355803539157e-002	1.682079e+000
5.032331249967728e-002	2.144111e+000
5.049072321396299e-002	3.254445e+000
5.065813392824872e-002	4.348350e+000
5.082554464253443e-002	5.425827e+000
5.099295535682015e-002	6.486875e+000
5.116036607110586e-002	7.531495e+000
5.132777678539158e-002	8.559686e+000
5.149518749967730e-002	9.571448e+000
5.177420535682016e-002	1.121158e+001
5.205322321396302e-002	1.273886e+001
5.233224107110588e-002	1.415330e+001
5.261125892824874e-002	1.545489e+001
5.289027678539161e-002	1.664363e+001
5.316929464253446e-002	1.771954e+001
5.344831249967733e-002	1.868259e+001
5.397844642824876e-002	2.006126e+001
5.450858035682020e-002	2.087474e+001
5.503871428539164e-002	2.112303e+001
5.556884821396307e-002	2.080612e+001
5.609898214253450e-002	1.992402e+001
5.662911607110594e-002	1.847674e+001
5.715924999967738e-002	1.646425e+001
5.739641517824881e-002	1.541372e+001
5.763358035682024e-002	1.429431e+001
5.787074553539168e-002	1.310603e+001
5.810791071396310e-002	1.184889e+001
5.834507589253454e-002	1.052287e+001
5.858224107110597e-002	9.127992e+000
5.881940624967740e-002	7.664241e+000
5.895891517824883e-002	6.789082e+000
5.909842410682027e-002	5.905177e+000
5.923793303539170e-002	5.012527e+000
5.937744196396312e-002	4.111132e+000
5.951695089253455e-002	3.200992e+000
5.965645982110598e-002	2.282106e+000
5.979596874967742e-002	1.354475e+000
5.999128124967742e-002	5.791958e-002
6.007498660682028e-002	-4.990566e-001
6.015869196396313e-002	-1.054730e+000
6.024239732110599e-002	-1.609100e+000
6.032610267824885e-002	-2.162167e+000
6.040980803539171e-002	-2.713931e+000
6.049351339253457e-002	-3.264392e+000
6.057721874967743e-002	-3.813550e+000
6.077253124967743e-002	-5.093139e+000
6.096784374967743e-002	-6.342147e+000
6.116315624967744e-002	-7.560573e+000
6.135846874967744e-002	-8.748418e+000
6.155378124967744e-002	-9.905682e+000
6.174909374967744e-002	-1.103236e+001
6.194440624967745e-002	-1.212846e+001
6.226527678539172e-002	-1.384265e+001
6.258614732110600e-002	-1.538245e+001
6.290701785682026e-002	-1.674785e+001
6.322788839253454e-002	-1.793887e+001
6.354875892824881e-002	-1.895550e+001
6.386962946396309e-002	-1.979773e+001
6.419049999967735e-002	-2.046558e+001
6.463692857110590e-002	-2.098356e+001
6.508335714253445e-002	-2.110640e+001
6.552978571396299e-002	-2.083409e+001
6.597621428539154e-002	-2.016662e+001
6.642264285682009e-002	-1.910401e+001
6.686907142824863e-002	-1.764625e+001
6.731549999967718e-002	-1.579334e+001
6.755266517824859e-002	-1.468508e+001
6.778983035682000e-002	-1.351265e+001
6.802699553539142e-002	-1.227605e+001
6.826416071396284e-002	-1.097529e+001
6.850132589253426e-002	-9.610356e+000
6.873849107110566e-002	-8.181257e+000
6.897565624967708e-002	-6.687990e+000
6.910121428539136e-002	-5.888539e+000
6.922677232110563e-002	-5.083088e+000
6.935233035681991e-002	-4.271636e+000
6.947788839253420e-002	-3.454184e+000
6.960344642824848e-002	-2.630731e+000
6.972900446396275e-002	-1.801277e+000
6.985456249967703e-002	-9.658221e-001
6.992431696396274e-002	-5.021678e-001
6.999407142824846e-002	-3.882826e-002
7.006382589253417e-002	4.241967e-001
7.013358035681987e-002	8.869069e-001
7.020333482110558e-002	1.349303e+000
7.027308928539129e-002	1.811383e+000
7.034284374967700e-002	2.273150e+000
7.051025446396271e-002	3.382580e+000
7.067766517824842e-002	4.475239e+000
7.084507589253412e-002	5.551127e+000
7.101248660681982e-002	6.610243e+000
7.117989732110552e-002	7.652588e+000
7.134730803539123e-002	8.678161e+000
7.151471874967694e-002	9.686963e+000
7.179373660681977e-002	1.132133e+001
7.207275446396262e-002	1.284215e+001
7.235177232110546e-002	1.424942e+001
7.263079017824831e-002	1.554314e+001
7.290980803539114e-002	1.672331e+001
7.318882589253399e-002	1.778994e+001
7.346784374967683e-002	1.874301e+001
7.399797767824823e-002	2.010035e+001
7.452811160681962e-002	2.089283e+001
7.505824553539102e-002	2.112047e+001
7.558837946396242e-002	2.078326e+001
7.611851339253382e-002	1.988120e+001
7.664864732110521e-002	1.841429e+001
7.717878124967662e-002	1.638253e+001
7.741594642824803e-002	1.532463e+001
7.765311160681944e-002	1.419845e+001
7.789027678539086e-002	1.300397e+001
7.812744196396228e-002	1.174121e+001
7.836460714253370e-002	1.041015e+001
7.860177232110510e-002	9.010807e+000
7.883893749967652e-002	7.543171e+000
7.897844642824795e-002	6.666078e+000
7.911795535681936e-002	5.780482e+000
7.925746428539078e-002	4.886384e+000
7.939697321396221e-002	3.983784e+000
7.953648214253363e-002	3.072681e+000
7.967599107110504e-002	2.153076e+000
7.981549999967647e-002	1.224969e+000
8.020612499967644e-002	-1.368356e+000
8.035958482110500e-002	-2.389467e+000
8.051304464253357e-002	-3.399236e+000
8.066650446396213e-002	-4.397665e+000
8.081996428539069e-002	-5.384753e+000
8.097342410681925e-002	-6.360500e+000
8.112688392824782e-002	-7.324905e+000
8.128034374967638e-002	-8.277969e+000
8.154541071396208e-002	-9.891797e+000
8.181047767824778e-002	-1.141263e+001
8.207554464253349e-002	-1.284046e+001
8.234061160681917e-002	-1.417529e+001
8.260567857110487e-002	-1.541713e+001
8.287074553539058e-002	-1.656597e+001
8.313581249967628e-002	-1.762181e+001
8.372174999967624e-002	-1.947145e+001
8.430768749967621e-002	-2.063367e+001
8.489362499967618e-002	-2.110849e+001
8.547956249967614e-002	-2.089590e+001
8.606549999967611e-002	-1.999589e+001
8.665143749967608e-002	-1.840848e+001
8.723737499967604e-002	-1.613366e+001
8.747454017824746e-002	-1.505393e+001
8.771170535681887e-002	-1.390767e+001
8.794887053539029e-002	-1.269487e+001
8.818603571396171e-002	-1.141553e+001
8.842320089253312e-002	-1.006965e+001
8.866036607110453e-002	-8.657232e+000
8.889753124967595e-002	-7.178277e+000
8.903704017824737e-002	-6.295580e+000
8.917654910681878e-002	-5.405110e+000
8.931605803539021e-002	-4.506870e+000
8.945556696396163e-002	-3.600857e+000
8.959507589253306e-002	-2.687074e+000
8.973458482110447e-002	-1.765518e+000
8.987409374967589e-002	-8.361918e-001
9.026471874967587e-002	1.756531e+000
9.041817857110443e-002	2.775781e+000
9.057163839253300e-002	3.782814e+000
9.072509821396156e-002	4.777630e+000
9.087855803539012e-002	5.760230e+000
9.103201785681868e-002	6.730612e+000
9.118547767824725e-002	7.688778e+000
9.133893749967581e-002	8.634727e+000
9.160400446396151e-002	1.023403e+001
9.186907142824721e-002	1.173828e+001
9.213413839253291e-002	1.314750e+001
9.239920535681860e-002	1.446168e+001
9.266427232110430e-002	1.568081e+001
9.292933928539000e-002	1.680491e+001
9.319440624967570e-002	1.783396e+001
9.376639285681852e-002	1.958338e+001
9.433837946396136e-002	2.067663e+001
9.491036607110417e-002	2.111369e+001
9.548235267824701e-002	2.089458e+001
9.605433928538983e-002	2.001929e+001
9.662632589253266e-002	1.848783e+001
9.719831249967548e-002	1.630018e+001
9.733782142824690e-002	1.569109e+001
9.747733035681831e-002	1.505506e+001
9.761683928538974e-002	1.439211e+001
9.775634821396116e-002	1.370223e+001
9.789585714253259e-002	1.298541e+001
9.803536607110400e-002	1.224167e+001
9.817487499967542e-002	1.147100e+001
9.827253124967542e-002	1.092070e+001
9.845389285681826e-002	9.862743e+000
9.863525446396111e-002	8.781771e+000
9.881661607110395e-002	7.677781e+000
9.899797767824681e-002	6.550774e+000
9.917933928538965e-002	5.400750e+000
9.936070089253250e-002	4.227708e+000
9.954206249967534e-002	3.031649e+000
9.993268749967532e-002	4.471532e-001
1.000000000000000e-001	-4.924018e-014
